state,action,reward,next state
"[215.78733825683594, 326.6019287109375, -0.003825817024335265, 29.83816338265975, 0.0]",0.0,"[0.8, 1.541711105310265, -0.061122131347656254, 2.280588973962609]","[168.80819702148438, 326.5969543457031, -0.003938274458050728, 30.8342221062053, 0.0]"
"[168.80819702148438, 326.5969543457031, -0.003938274458050728, 30.8342221062053, 0.0]",0.0,"[0.8, 1.3070950811279727, -0.025318622589111328, 2.0817764585388616]","[122.97731018066406, 326.5920104980469, -0.0038094138726592064, 26.141901622559452, 0.0]"
"[122.97731018066406, 326.5920104980469, -0.0038094138726592064, 26.141901622559452, 0.0]",2,"[0.8, 0.0, -0.0, 0.8]","[115.32854461669922, 326.59149169921875, -0.0045311544090509415, 0.0, 0.0]"
"[115.32854461669922, 326.59149169921875, -0.0045311544090509415, 0.0, 0.0]",3,"[0.8, 0.7553315051120499, -0.017438697814941406, 1.5378928072971085]","[106.68272399902344, 326.59075927734375, -0.004609584808349609, 15.106630102240997, 0.0]"
"[106.68272399902344, 326.59075927734375, -0.004609584808349609, 15.106630102240997, 0.0]",2,"[0.8, 0.8630404407143284, -0.0020784378051757813, 1.6609620029091525]","[85.55396270751953, 326.5806579589844, -0.004769229795783758, 17.260808814286566, 0.0]"
"[85.55396270751953, 326.5806579589844, -0.004769229795783758, 17.260808814286566, 0.0]",0.0,"[0.8, 0.8549797021736341, -0.0, 1.654979702173634]","[60.14363098144531, 326.5689697265625, -0.004703235346823931, 17.09959404347268, 0.0]"
"[60.14363098144531, 326.5689697265625, -0.004703235346823931, 17.09959404347268, 0.0]",0.0,"[0.8, 0.8549796994488861, -0.0, 1.6549796994488861]","[35.68113327026367, 326.5541076660156, -0.0047031971625983715, 17.09959398897772, 0.0]"
"[35.68113327026367, 326.5541076660156, -0.0047031971625983715, 17.09959398897772, 0.0]",0.0,"[0.8, 0.8557688789504407, -0.0002047538757324219, 1.6555641250747084]","[11.936379432678223, 326.38592529296875, -0.004705066792666912, 17.115377579008815, 0.0]"
"[11.936379432678223, 326.38592529296875, -0.004705066792666912, 17.115377579008815, 0.0]",2,"[0.8, 0.8550960248463408, -0.00019270554184913635, 1.6549033193044917]","[2.05053973197937, 308.5583801269531, -0.004703769460320473, 17.101920496926816, 0.0]"
"[2.05053973197937, 308.5583801269531, -0.004703769460320473, 17.101920496926816, 0.0]",2,"[0.8, 2.683931297863131, -0.00019996289163827898, 3.483731334971493]","[2.017566204071045, 260.574951171875, -0.004587268922477961, 53.67862595726261, 0.0]"
