state,action,reward,next state
[11],7,"[0.8, 7.553110595385548e-08, -3.466178011279908e-11, 0.8000000754964443]",[11]
[11],7,"[0.8, 7.89653757187902e-08, -5.4071227850727155e-09, 0.800000073558253]",[11]
[11],7,"[0.8, 5.8364927757892464e-08, -3.4661786774137226e-11, 0.800000058330266]",[11]
[11],7,"[0.8, 1.3046295687252154e-07, -3.466178455369118e-11, 0.8000001304282951]",[11]
[11],4,"[0.8, 0.8546651783116911, -0.01187753677368164, 1.6427876415380096]",[11]
[11],3,"[0.8, 0.8549933661511431, -3.6048889160156254e-05, 1.654957317261983]",[1]
[1],3,"[0.8, 0.8539111848911249, -0.00829000473022461, 1.6456211801609004]",[38]
[38],3,"[0.8, 0.8548424673544552, -0.00015835054218769074, 1.6546841168122675]",[38]
[38],3,"[0.8, 2.556251212243401, -1.687556505203247e-06, 3.3562495246868957]",[38]
[38],0,"[0.8, 2.5550515700448546, -0.0003898242115974426, 3.3546617458332575]",[4]
[4],3,"[0.8, -0.2, -1.5646591782569887e-05, 0.5999843534082174]",[29]
[29],0,"[0.8, 1.769645542236954, -0.00010722801089286804, 2.569538314226061]",[22]
[22],0,"[0.8, 1.5751113330037994, -0.008421897888183594, 2.3666894351156156]",[22]
[22],4,"[0.8, 1.4357149516157646e-06, -3.5390858101891357e-07, 0.8000010818063706]",[30]
[30],6,"[0.8, 5.665189768664818e-07, -4.597556113594692e-10, 0.8000005660592213]",[30]
[30],6,"[0.8, 3.4890631056940215e-07, -9.003827017295407e-09, 0.8000003399024836]",[30]
[30],3,"[0.8, 1.8541744494325443, -0.012004280090332031, 2.6421701693422124]",[30]
[30],4,"[0.8, -0.2, -0.0220458984375, 0.5779541015625]",[37]
[37],3,"[0.8, 1.4729054302873752, -0.010039520263671876, 2.262865910023703]",[42]
[42],3,"[0.8, 0.0, -0.0, 0.8]",[42]
[42],5,"[0.8, 0.0, -0.0, 0.8]",[42]
[42],5,"[0.8, 0.0, -0.0, 0.8]",[42]
[42],5,"[0.8, 0.0, -0.0, 0.8]",[42]
[42],5,"[0.8, 0.0, -0.0, 0.8]",[42]
[42],5,"[0.8, 0.0, -0.0, 0.8]",[42]
[42],5,"[0.8, 1.1362935062053643, -0.06262106895446777, 1.8736724372508966]",[42]
[42],3,"[0.8, 0.47910121196680333, -0.0003085704520344734, 1.278792641514769]",[26]
[26],7,"[0.8, 0.0, -0.0, 0.8]",[26]
[26],5,"[0.8, 0.0, -0.0, 0.8]",[26]
[26],5,"[0.8, 0.0, -0.0, 0.8]",[26]
[26],5,"[0.8, 0.38314808588157145, -5.771943833678961e-05, 1.1830903664432348]",[26]
[26],4,"[0.8, 0.9386281298048993, -0.05419998168945313, 1.6844281481154462]",[10]
[10],3,"[0.8, 0.9299283932431379, -0.006045913696289063, 1.723882479546849]",[10]
[10],3,"[0.8, 0.9295556438154997, -0.03251810073852539, 1.6970375430769744]",[46]
[46],4,"[0.8, 0.9560816994766258, -0.06317291259765626, 1.6929087868789696]",[46]
[46],0,"[0.8, 0.9110336210613698, -0.007384395599365235, 1.7036492254620046]",[37]
[37],0,"[0.8, 0.9159664086040552, -0.009090614318847657, 1.7068757942852075]",[37]
[37],0,"[0.8, 0.00021411964090668832, -0.002461838126182556, 0.7977522815147242]",[41]
[41],5,"[0.8, 0.0, -0.0, 0.8]",[41]
[41],5,"[0.8, 0.6740478383938328, -0.05903568267822266, 1.4150121557156101]",[41]
[41],3,"[0.8, 0.9323461226417917, -0.005873143672943115, 1.7264729789688487]",[39]
[39],3,"[0.8, 0.0004287909307325753, -7.775557460263371e-06, 0.8004210153732724]",[30]
[30],6,"[0.8, 0.0, -0.0, 0.8]",[30]
[30],5,"[0.8, 0.0, -0.0, 0.8]",[30]
[30],5,"[0.8, 0.0, -0.0, 0.8]",[30]
[30],5,"[0.8, 0.0, -0.0, 0.8]",[30]
[30],5,"[0.8, 0.0, -0.0, 0.8]",[30]
[30],5,"[0.8, 0.0, -0.0, 0.8]",[30]
[30],5,"[0.8, 0.7666037828644009, -1.3693608343601226e-05, 1.5665900892560574]",[30]
[30],1,"[0.8, 0.9254666852561743, -0.03439197540283203, 1.6910747098533423]",[30]
[30],3,"[0.8, 2.1704542021574844, -9.918212890625e-06, 2.9704442839445937]",[37]
[37],4,"[0.8, 2.359785690371333, -0.038443374633789065, 3.121342315737544]",[42]
[42],4,"[0.8, 0.8959598132026072, -0.04184455871582032, 1.654115254486787]",[42]
[42],0,"[0.8, 1.267543144923331, -0.013236236572265626, 2.0543069083510654]",[0]
[0],4,"[0.8, 0.0, -0.0, 0.8]",[0]
[0],5,"[0.8, 0.0, -0.0, 0.8]",[0]
[0],5,"[0.8, 0.0, -0.0, 0.8]",[0]
[0],5,"[0.8, 0.0, -0.0, 0.8]",[0]
[0],5,"[0.8, 0.0, -0.0, 0.8]",[0]
[0],5,"[0.8, 0.0, -0.0, 0.8]",[0]
[0],5,"[0.8, 1.5488231034477768, -0.08485202789306641, 2.2639710755547107]",[23]
[23],3,"[0.8, 0.9624921369913443, -0.00014270263724029065, 1.7623494343541042]",[43]
[43],3,"[0.8, 1.8877689237739412, -8.899299427866937e-06, 2.6877600244745135]",[40]
[40],5,"[0.8, 0.0, -0.0, 0.8]",[31]
[31],5,"[0.8, 0.0, -0.0, 0.8]",[31]
[31],5,"[0.8, 0.0, -0.0, 0.8]",[31]
[31],5,"[0.8, 0.0, -0.0, 0.8]",[31]
[31],5,"[0.8, 0.0, -0.0, 0.8]",[31]
[31],5,"[0.8, 0.37526959222104866, -0.0001013600081205368, 1.1751682322129282]",[31]
[31],0,"[0.8, 1.3774877199494102, -0.012347412109375, 2.1651403078400353]",[19]
[19],3,"[0.8, 1.3863156803586716, -0.0032131195068359378, 2.183102560851836]",[6]
[6],4,"[0.8, 1.389216425738411, -0.0032077789306640624, 2.186008646807747]",[13]
[13],0,"[0.8, 1.3863293379248667, -0.003207683563232422, 2.183121654361634]",[13]
[13],0,"[0.8, 1.389216089589563, -0.0032073974609375003, 2.1860086921286257]",[9]
[9],0,"[0.8, 1.3347002484838493, -0.011705589294433594, 2.1229946591894158]",[35]
[35],0,"[0.8, 1.272484773719949, -0.038098621368408206, 2.0343861523515407]",[29]
[29],4,"[0.8, 0.5524047610881927, -9.878864511847496e-06, 1.3523948822236809]",[49]
[49],0,"[0.8, 0.0, -0.0, 0.8]",[49]
